Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,244.475,-50.8,0.0,bottom
C2,100nF,C_0402_1005Metric,237.905574,-44.921988,0.0,bottom
C3,100nF,C_0402_1005Metric,250.957005,-44.51772,180.0,bottom
C4,100nF,C_0402_1005Metric,245.034451,-37.934298,90.0,bottom
C5,100nF,C_0402_1005Metric,237.905574,-43.890548,0.0,bottom
C6,10uF,C_0402_1005Metric,244.475,-51.79375,0.0,bottom
C7,100nF,C_0402_1005Metric,243.946951,-37.934298,90.0,bottom
C8,1uF,C_0402_1005Metric,240.40625,-54.76875,270.0,bottom
C9,1uF,C_0402_1005Metric,245.36875,-54.76875,270.0,bottom
D1,D_Small,D_SOD-123F,41.275,-33.3375,90.0,bottom
D10,D_Small,D_SOD-123F,212.725,-28.575,90.0,bottom
D11,D_Small,D_SOD-123F,231.775,-28.575,90.0,bottom
D12,D_Small,D_SOD-123F,250.825,-33.3375,90.0,bottom
D13,D_Small,D_SOD-123F,269.08125,-33.3375,90.0,bottom
D14,D_Small,D_SOD-123F,43.65625,-52.3875,90.0,bottom
D15,D_Small,D_SOD-123F,65.0875,-52.3875,90.0,bottom
D16,D_Small,D_SOD-123F,84.1375,-47.625,90.0,bottom
D17,D_Small,D_SOD-123F,103.1875,-47.625,90.0,bottom
D18,D_Small,D_SOD-123F,122.2375,-52.3875,90.0,bottom
D19,D_Small,D_SOD-123F,141.2875,-57.15,90.0,bottom
D2,D_Small,D_SOD-123F,60.325,-33.3375,90.0,bottom
D20,D_Small,D_SOD-123F,160.3375,-57.15,90.0,bottom
D21,D_Small,D_SOD-123F,179.3875,-52.3875,90.0,bottom
D22,D_Small,D_SOD-123F,198.4375,-47.625,90.0,bottom
D23,D_Small,D_SOD-123F,217.4875,-47.625,90.0,bottom
D24,D_Small,D_SOD-123F,236.5375,-52.3875,90.0,bottom
D25,D_Small,D_SOD-123F,262.73125,-52.3875,90.0,bottom
D26,D_Small,D_SOD-123F,57.15,-71.4375,90.0,bottom
D27,D_Small,D_SOD-123F,74.6125,-71.4375,90.0,bottom
D28,D_Small,D_SOD-123F,93.6625,-66.675,90.0,bottom
D29,D_Small,D_SOD-123F,112.7125,-71.4375,90.0,bottom
D3,D_Small,D_SOD-123F,79.375,-28.575,90.0,bottom
D30,D_Small,D_SOD-123F,131.7625,-76.2,90.0,bottom
D31,D_Small,D_SOD-123F,150.8125,-76.2,90.0,bottom
D32,D_Small,D_SOD-123F,169.8625,-76.2,90.0,bottom
D33,D_Small,D_SOD-123F,189.23,-71.4375,90.0,bottom
D34,D_Small,D_SOD-123F,207.9625,-66.675,90.0,bottom
D35,D_Small,D_SOD-123F,227.0125,-71.4375,90.0,bottom
D36,D_Small,D_SOD-123F,230.1875,-71.4375,90.0,bottom
D37,D_Small,D_SOD-123F,267.49375,-71.4375,90.0,bottom
D38,D_Small,D_SOD-123F,41.275,-90.4875,90.0,bottom
D39,D_Small,D_SOD-123F,60.325,-90.4875,90.0,bottom
D4,D_Small,D_SOD-123F,98.425,-28.575,90.0,bottom
D40,D_Small,D_SOD-123F,79.375,-90.4875,90.0,bottom
D41,D_Small,D_SOD-123F,88.10625,-90.4875,105.0,bottom
D42,D_Small,D_SOD-123F,121.642479,-99.769627,105.0,bottom
D43,D_Small,D_SOD-123F,130.175,-100.0125,90.0,bottom
D44,D_Small,D_SOD-123F,165.1,-100.0125,90.0,bottom
D45,D_Small,D_SOD-123F,173.83125,-100.0125,75.0,bottom
D46,D_Small,D_SOD-123F,207.367479,-90.730373,75.0,bottom
D47,D_Small,D_SOD-123F,231.775,-90.4875,90.0,bottom
D48,D_Small,D_SOD-123F,250.554536,-90.4875,90.0,bottom
D49,D_Small,D_SOD-123F,269.875,-90.4875,90.0,bottom
D5,D_Small,D_SOD-123F,117.475,-28.575,90.0,bottom
D6,D_Small,D_SOD-123F,136.525,-33.3375,90.0,bottom
D7,D_Small,D_SOD-123F,155.575,-38.1,90.0,bottom
D8,D_Small,D_SOD-123F,174.625,-33.3375,90.0,bottom
D9,D_Small,D_SOD-123F,193.675,-28.575,90.0,bottom
J1,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,167.9875,-64.4875,90.0,bottom
R1,10k,R_0402_1005Metric,250.825,-57.15,0.0,bottom
SW1,SKQGABE010,SW_Push_SPST_NO_Alps_SKRK,250.825,-61.11875,90.0,bottom
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,244.475,-44.45,225.0,bottom
U2,XC6206PxxxMR-Regulator_Linear,SOT-23,242.8875,-54.76875,0.0,bottom
